PotenciaA1iz,PotenciaA2iz,PotenciaA3iz,PotenciaC1iz,PotenciaC2iz,PotenciaC3iz,PotenciaB1iz,PotenciaB2iz,PotenciaB3iz,PotenciaA1de,PotenciaA2de,PotenciaA3de,PotenciaC1de,PotenciaC2de,PotenciaC3de,PotenciaB1de,PotenciaB2de,PotenciaB3de
497.442831902144,1376.52162119421,2259.59385414365,544.430573424708,571.49093833294,511.688805201886,99.088393066295,1155.99582074118,816.472484521384,539.868070958264,1668.32696507132,2700.54899622357,554.645354404198,511.807987306889,618.398097643229,648.841142072884,482.839909430221,1767.69513841929
513.011313186472,1426.65853202764,2335.83882295825,539.2411149071,568.256958071926,505.911751849645,95.4946445456303,1196.64088608456,847.83752951254,556.850372615584,1727.70580880468,2801.34856355835,549.716571704677,506.165517538256,613.581794615117,657.592101234689,518.342271670896,1804.87593312797
516.85761604689,1449.55610458002,2365.05724208415,499.509925528063,531.020590235184,465.80160664604,52.7792479831405,1198.20826009588,921.154556333912,561.086635786185,1753.71645645542,2848.47052166865,510.156644415093,466.794613309428,572.195185224031,621.323166190727,592.616242215751,1778.55826461178
519.759211633674,1466.54364994644,2387.10911263069,457.27160290241,491.152672308368,423.229609728084,10.7393683963998,1195.33134694992,990.367281222136,564.236982083949,1773.40741705962,2886.64209826161,468.046636380591,424.954881122633,528.248786232161,584.914746228615,661.314489952753,1748.4325908529
519.368472868851,1475.12246550782,2395.08647605213,408.722891318092,444.898536683562,374.418366893097,35.4239302942896,1183.44186238724,1061.6709151024,563.825858274009,1783.30664276451,2907.45346056847,419.576525653002,376.927587582766,477.756005279925,542.47308760428,729.865242139548,1707.36077886529
516.63555784562,1476.27718555779,2391.78864391248,355.915741524882,394.26055446618,321.378847460255,83.7964163632953,1164.17829484855,1132.92133086101,560.861929405223,1784.8346015684,2913.98593954529,366.802449521456,324.720942909842,422.8725341914,496.673722714535,795.695752685385,1658.96728379663
511.459946062311,1470.13268032006,2377.1099106115,299.312514828946,339.681650786079,264.561399548542,134.230741706995,1137.54609934512,1204.19350175652,555.242261851336,1778.11583570865,2905.87625300535,310.190020535603,268.792698096495,364.080136294274,447.750706282277,858.534999717763,1603.86640817077
504.058608326838,1457.06949752021,2351.81292605307,239.840860407101,282.057088309986,204.874818911984,186.074013573774,1104.03623572843,1274.82023588038,547.196522169063,1763.63607118701,2883.84739987822,250.66540313564,210.058140525142,302.329355964564,396.598554991262,917.53800687324,1543.38408857583
494.550360798123,1437.42340009607,2316.41174969049,178.316875972245,222.181457741233,143.127512979656,238.770028407056,1064.05914717944,1344.22553693502,536.856099783778,1741.78350469792,2848.357380763,189.049509496802,149.331015186473,238.45146882501,343.896280952517,972.08136902138,1478.549749065
483.078904164842,1411.56684681437,2271.49968185893,115.602177670641,160.893117701668,80.173320129074,291.700330281258,1018.1056601651,1411.67398809632,524.383561649183,1712.98883314062,2800.00591730982,126.202208328788,87.4694151446459,173.316282149884,290.350599574019,1021.54227512954,1410.35918574222
469.778183781181,1379.88455597931,2217.64466203515,52.5508298635529,99.0259820770045,16.8676673527897,344.228563342034,966.699121132195,1476.35399596879,509.915496937554,1677.67257405821,2739.39813770245,62.9799861075387,25.32703081654,107.779866023433,236.620115939618,1065.36664423126,1339.69523812657
454.782373366004,1342.77453106734,2155.44002001188,9.97348865657343,37.4257700584625,45.9207801893358,395.674127567106,910.420942078076,1537.34403861082,493.607809480114,1636.25277041762,2667.20250144316,0.247863170377866,36.2305370288549,42.7071005474902,183.350002621151,1103.03193229728,1267.35898115643
438.223100383222,1300.62981703289,2085.44079023689,71.136729905381,23.0881835575674,107.347700919691,445.369250300592,849.874394105634,1593.67053772816,475.597731064431,1589.13658145132,2584.09894531532,61.1591043996221,96.3667344213891,21.0689888185113,131.123612918872,1134.09179557841,1194.01417237554
420.24536082748,1253.90195692504,2008.30148617979,130.025578675,81.6162496437344,166.482542564401,492.487213677081,785.830365566135,1644.11459982408,456.048395979085,1536.77312961099,2490.90683493196,120.326426213646,154.168496634247,82.6325132077017,80.6005797326014,1158.04472206896,1120.3628242658
400.91002610986,1202.83284650064,1924.30541891759,186.066604704081,137.591799934131,222.736710499151,536.655708173184,718.663879542484,1687.96118428451,435.020209644768,1479.36964525898,2388.05176625472,176.680210161927,209.056642024397,141.421978432535,32.0229456990688,1174.7861051905,1046.50919190456
380.630505626184,1148.48489691812,1835.17369010694,237.506194945849,189.282984689627,274.314229422493,575.758532421085,650.419213077449,1722.26177024155,412.974274287629,1418.04210961091,2277.71471274141,228.463742522991,259.293921196806,195.639736465766,12.936719351987,1182.90567173305,974.289579921788
