Time(s) Force(Spherical:5)-ArfadaCaso1.iaa(N) Force[X](Spherical:5)-ArfadaCaso1.iaa(N) Force[Y](Spherical:5)-ArfadaCaso1.iaa(N) Force[Z](Spherical:5)-ArfadaCaso1.iaa(N) Moment(Spherical:5)-ArfadaCaso1.iaa(N.mm) Moment[X](Spherical:5)-ArfadaCaso1.iaa(N.mm) Moment[Y](Spherical:5)-ArfadaCaso1.iaa(N.mm) Moment[Z](Spherical:5)-ArfadaCaso1.iaa(N.mm) 
0.47389 697.68900 93.44195 1.08710 -691.40269 0.00000 0.00000 0.00000 0.00000 
0.47791 744.87600 109.28278 1.16064 -736.81490 0.00000 0.00000 0.00000 -0.00000 
0.48192 792.25600 126.31008 1.23448 -782.12111 0.00000 0.00000 0.00000 0.00000 
0.48594 839.85800 144.48533 1.30867 -827.33546 0.00000 0.00000 0.00000 0.00000 
0.48996 887.67600 163.75610 1.38320 -872.43917 0.00000 0.00000 0.00000 0.00000 
0.49397 935.81900 184.08442 1.45824 -917.53397 0.00000 0.00000 0.00000 0.00000 
0.49799 983.99000 205.34384 1.53332 -962.32469 0.00000 0.00000 0.00000 0.00000 
0.50201 1033.25000 227.68561 1.61011 -1007.85151 0.00000 0.00000 0.00000 0.00000 
0.50602 1080.18000 250.26321 1.68327 -1050.79205 0.00000 0.00000 0.00000 0.00000 
0.51004 1135.74000 275.55793 1.76988 -1101.80466 0.00000 0.00000 0.00000 0.00000 
0.51405 1148.13000 290.63528 1.78922 -1110.73743 0.00000 0.00000 0.00000 0.00000 
0.51807 1146.91000 301.88269 1.78734 -1106.46042 0.00000 0.00000 0.00000 0.00000 
0.52209 1148.45000 313.37028 1.78979 -1104.86863 0.00000 0.00000 0.00000 0.00000 
0.52610 1149.42000 324.23716 1.79133 -1102.73574 0.00000 0.00000 0.00000 0.00000 
0.53012 1150.46000 334.66211 1.79299 -1100.70336 0.00000 0.00000 0.00000 0.00000 
0.53413 1151.46000 344.61872 1.79460 -1098.67706 0.00000 0.00000 0.00000 0.00000 
0.53815 1152.43000 354.11379 1.79616 -1096.67836 0.00000 0.00000 0.00000 0.00000 
0.54217 1153.38000 363.15101 1.79769 -1094.71812 0.00000 0.00000 0.00000 0.00000 
0.54618 1154.30000 371.73287 1.79916 -1092.80352 0.00000 0.00000 0.00000 0.00000 
0.55020 1155.19000 379.86232 1.80060 -1090.94341 0.00000 0.00000 0.00000 0.00000 
0.55421 1156.04000 387.54174 1.80198 -1089.14504 0.00000 0.00000 0.00000 0.00000 
0.55823 1156.86000 394.77341 1.80331 -1087.41543 0.00000 0.00000 0.00000 0.00000 
0.56225 1157.64000 401.55933 1.80458 -1085.76096 0.00000 0.00000 0.00000 0.00000 
0.56626 1158.38000 407.90131 1.80580 -1084.18751 0.00000 0.00000 0.00000 0.00000 
0.57028 1159.08000 413.80095 1.80695 -1082.70045 0.00000 0.00000 0.00000 0.00000 
0.57429 1159.74000 419.25972 1.80804 -1081.30481 0.00000 0.00000 0.00000 0.00000 
0.57831 1160.36000 424.27868 1.80907 -1080.00460 0.00000 0.00000 0.00000 0.00000 
0.58233 1160.92000 428.85957 1.81002 -1078.80552 0.00000 0.00000 0.00000 0.00000 
0.58634 1161.44000 433.00103 1.81089 -1077.70544 0.00000 0.00000 0.00000 0.00000 
0.59036 1161.92000 436.71190 1.81172 -1076.72755 0.00000 0.00000 0.00000 0.00000 
0.59437 1162.29000 439.96467 1.81238 -1075.80534 0.00000 0.00000 0.00000 0.00000 
0.59839 1162.82000 442.85920 1.81327 -1075.18353 0.00000 0.00000 0.00000 0.00000 
0.60241 1162.57000 445.04464 1.81296 -1074.01307 0.00000 0.00000 0.00000 0.00000 
0.60642 1164.82000 447.77263 1.81655 -1075.31019 0.00000 0.00000 0.00000 0.00000 
0.61044 1117.76000 431.09013 1.74324 -1031.28399 0.00000 0.00000 0.00000 0.00000 
0.61445 1067.55000 412.73302 1.66500 -984.53104 0.00000 0.00000 0.00000 0.00000 
0.61847 1018.17000 394.33454 1.58807 -938.70529 0.00000 0.00000 0.00000 0.00000 
0.62249 968.63092 375.59021 1.51087 -892.84687 0.00000 0.00000 0.00000 0.00000 
0.62650 919.20800 356.68256 1.43385 -847.18308 0.00000 0.00000 0.00000 0.00000 
0.63052 869.84300 337.65402 1.35691 -801.63251 0.00000 0.00000 0.00000 0.00000 
0.63453 820.56100 318.57094 1.28010 -756.19533 0.00000 0.00000 0.00000 0.00000 
0.63855 771.36500 299.48176 1.20341 -710.85378 0.00000 0.00000 0.00000 0.00000 
