Time(s) Force[Z](Cylindrical:11)-CabeceoCaso1.iaa(N) Force[Y](Cylindrical:11)-CabeceoCaso1.iaa(N) Force[X](Cylindrical:11)-CabeceoCaso1.iaa(N) Force(Cylindrical:11)-CabeceoCaso1.iaa(N) Moment[Z](Cylindrical:11)-CabeceoCaso1.iaa(N.mm) Moment[Y](Cylindrical:11)-CabeceoCaso1.iaa(N.mm) Moment[X](Cylindrical:11)-CabeceoCaso1.iaa(N.mm) Moment(Cylindrical:11)-CabeceoCaso1.iaa(N.mm) 
1.33291 12798.70000 -1823.03000 1.13441 12927.90000 5893.99000 -1762.09000 71098.10000 71363.80000 
1.34823 12950.00000 -1837.21000 1.25880 13079.70000 5854.81000 -1733.16000 71651.00000 71910.80000 
1.36355 12850.00000 -1811.52000 1.18004 12977.10000 5785.49000 -1700.27000 70649.20000 70906.10000 
1.37887 12791.70000 -1790.11000 1.08142 12916.40000 5750.99000 -1676.02000 69814.30000 70070.80000 
1.39419 12707.80000 -1762.91000 0.94793 12829.50000 5742.46000 -1658.13000 68753.60000 69012.90000 
1.40951 12616.30000 -1732.67000 0.81080 12734.70000 5756.93000 -1644.26000 67574.00000 67838.80000 
1.42483 12512.50000 -1698.73000 0.69011 12627.20000 5794.05000 -1633.25000 66250.50000 66523.50000 
1.44015 12397.70000 -1661.36000 0.60256 12508.50000 5846.08000 -1621.92000 64793.20000 65076.60000 
1.45547 12271.80000 -1620.60000 0.55651 12378.30000 5905.47000 -1607.58000 63203.30000 63498.90000 
1.47080 12134.90000 -1576.54000 0.55352 12236.80000 5965.44000 -1588.16000 61484.90000 61794.00000 
1.48612 11987.00000 -1529.28000 0.58975 12084.10000 6020.80000 -1562.36000 59641.90000 59965.40000 
1.50144 11828.30000 -1478.94000 0.65834 11920.40000 6068.16000 -1529.62000 57678.80000 58017.30000 
1.51676 11658.80000 -1425.65000 0.75139 11745.70000 6105.75000 -1489.94000 55600.50000 55954.50000 
1.53208 11478.80000 -1369.54000 0.86153 11560.20000 6133.02000 -1443.65000 53412.00000 53782.30000 
1.54740 11288.20000 -1310.74000 0.98265 11364.00000 6150.16000 -1391.29000 51118.90000 51506.30000 
1.56272 11087.10000 -1249.40000 1.11023 11157.30000 6157.70000 -1333.40000 48726.80000 49132.40000 
1.57804 10875.80000 -1185.68000 1.24125 10940.20000 6156.22000 -1270.49000 46241.50000 46666.80000 
1.59336 10654.20000 -1119.72000 1.37388 10712.90000 6146.17000 -1203.01000 43669.10000 44115.90000 
1.60868 10422.60000 -1051.69000 1.50725 10475.60000 6127.79000 -1131.33000 41015.80000 41486.50000 
1.62400 10181.00000 -981.72998 1.64101 10228.20000 6101.05000 -1055.76000 38287.50000 38784.90000 
1.63932 9929.81000 -910.05900 1.77550 9971.42000 6065.79000 -976.57800 35492.30000 36020.10000 
1.65464 9667.78000 -836.66400 1.91003 9703.91000 6021.32000 -894.04700 32629.90000 33192.90000 
1.66997 9400.22000 -762.35500 2.04865 9431.08000 5968.06000 -808.46400 29731.90000 30335.70000 
1.68529 9108.02000 -684.96759 2.17786 9133.74000 5901.59000 -720.15100 26713.70000 27367.30000 
1.70061 8862.52000 -613.16500 2.35032 8883.70000 5834.46000 -629.18800 23913.50000 24623.00000 
1.71593 8256.56000 -499.61618 2.25966 8271.66000 5692.54000 -539.48400 19485.00000 20306.70000 
1.73125 7505.29000 -371.17500 2.05337 7514.46000 5525.79000 -453.49054 14475.80000 15501.30000 
1.74657 6786.50000 -248.77655 1.86151 6791.06000 5370.52000 -370.65100 9702.29000 11095.70000 
1.76189 6057.75000 -127.74000 1.64819 6059.09000 5220.85000 -291.93400 4981.85000 7222.28000 
1.77721 5331.93000 -9.62899 1.42014 5331.94000 5081.59000 -217.49900 375.53000 5100.08000 
1.79253 4607.15000 105.69800 1.17248 4608.36000 4955.09000 -147.53600 -4122.21000 6447.27000 
